ell Cl857x857 Cl545x545 Cl353x353 Cl217x217 Cl3000x3000 Cl857x545 Cl857x353 Cl857x217 Cl545x353 Cl545x217 Cl353x217 Cl3000x857 Cl3000x545 Cl3000x353 Cl3000x217 Cl100x100 Cl100x857 Cl100x545 Cl100x353 Cl100x217 Cl143x143 Cl143x857 Cl143x545 Cl143x353 Cl143x217 Cl100x143
50.056 470610 107090 12895 747.53 225160 219900 74008 17346 36909 8784.4 3096.1 249570 102270 32011 7166.2 4.0445 1244.9 637.98 226.38 54.894 41.109 4005.2 2043.9 723.52 175.18 12.892
55.777 466590 107640 13047 759.21 207550 219570 74170 17423 37225 8877.6 3138.6 239460 99064 31170 7001.3 4.1187 1252.5 645.71 229.81 55.828 41.825 4027.3 2067.6 734.14 178.07 13.122
62.152 458280 107180 13079 764.03 190300 217180 73635 17336 37193 8888.5 3152.5 228030 95199 30106 6784.1 4.1564 1248.4 647.51 231.17 56.262 42.167 4011.6 2072.2 738.08 179.37 13.236
69.255 445570 105630 12978 761.13 173550 212630 72355 17073 36782 8808.7 3134.3 215390 90708 28825 6515.5 4.1525 1231.5 642.7 230.18 56.129 42.085 3955 2055.7 734.55 178.86 13.217
77.171 428550 102950 12734 749.85 157490 205880 70310 16628 35970 8632.6 3081.7 201770 85661 27345 6198.9 4.103 1201.4 630.84 226.66 55.379 41.541 3856 2016.6 722.93 176.37 13.053
85.991 407560 99144 12345 729.89 142260 197040 67523 16002 34758 8358.9 2993.7 187440 80160 25696 5840.4 4.0055 1158.1 611.79 220.52 53.985 40.513 3714.9 1954.7 702.98 171.84 12.736
95.819 383210 94309 11818 701.42 127920 186350 64061 15212 33168 7992.4 2871.4 172700 74336 23917 5448.9 3.8604 1102.6 585.83 211.82 51.955 39.006 3534.9 1870.8 674.89 165.3 12.269
106.77 356400 88608 11167 665.21 114530 174180 60047 14285 31252 7544.4 2718.3 157920 68349 22059 5036 3.6711 1036.7 553.75 200.8 49.34 37.057 3322.2 1767.5 639.47 156.9 11.661
118.97 328220 82286 10421 622.73 102150 161060 55653 13259 29093 7033.9 2540.7 143470 62373 20183 4615.2 3.4449 963.39 516.89 187.9 46.244 34.745 3086 1649.1 598.15 147 10.938
132.57 299860 75645 9616.4 576.09 90860 147590 51086 12185 26795 6486 2347.4 129680 56580 18345 4200.4 3.1931 886.08 477.06 173.77 42.822 32.183 2837.5 1521.6 552.98 136.07 10.135
147.72 272410 69001 8794.1 527.74 80650 134340 46554 11112 24471 5928.4 2148.5 116790 51107 16596 3803.8 2.9291 808.52 436.32 159.15 39.254 29.508 2588.6 1391.3 506.34 124.71 9.2951
164.61 246710 62635 7993.2 480.12 71461 121810 42237 10085 22228 5387.1 1953.7 104940 46042 14971 3434.1 2.6669 734.04 396.61 144.77 35.726 26.858 2349.9 1264.5 460.54 113.48 8.4616
183.42 223260 56763 7246.5 435.35 63192 110330 38270 9139.6 20148 4883.6 1771.4 94113 41414 13486 3095.8 2.4185 665.26 359.56 131.27 32.396 24.356 2129.6 1146.4 417.56 102.9 7.6735
204.39 202090 51499 6575.7 394.99 55738 100020 34710 8291.4 18283 4431.6 1607.3 84201 37191 12133 2788.2 2.1938 603.59 326.27 119.1 29.39 22.095 1932.1 1040.2 378.87 93.354 6.9608
227.75 182660 46795 5983.5 359.54 49008 90680 31511 7532.5 16627 4031.8 1462.9 74995 33281 10885 2505.2 1.997 548.59 296.9 108.41 26.753 20.113 1755.8 946.53 344.85 84.979 6.3363
253.78 164080 42431 5446.6 327.89 42939 81862 28518 6826.9 15107 3667.6 1332.9 66298 29576 9702.1 2237.3 1.8231 497.71 270.3 98.845 24.411 18.355 1592.3 861.48 314.35 77.525 5.7837
282.78 145620 38116 4923.8 297.5 37505 73092 25548 6128.6 13615 3311.8 1207.2 58036 26011 8557.7 1977.3 1.6583 447.47 244.42 89.644 22.177 16.681 1430.8 778.61 284.95 70.398 5.2586
315.1 127200 33686 4383.1 266.06 32705 64201 22514 5412.5 12076 2944.1 1077.1 50302 22608 7453.6 1724.8 1.4882 395.83 217.65 80.121 19.867 14.952 1264.9 692.91 254.52 63.027 4.7162
351.12 109480 29217 3824 233.1 28535 55440 19486 4692 10503 2565.5 941.69 43292 19461 6420.3 1486.6 1.3081 343.54 189.94 70.155 17.434 13.127 1097.3 604.37 222.74 55.276 4.1432
391.25 93396 24958 3275.4 200.13 24965 47302 16635 4007.4 8982.5 2196.1 807.5 37180 16677 5497 1272.3 1.1255 293.52 162.7 60.21 14.983 11.285 937.4 517.56 191.1 47.488 3.5633
435.97 79698 21200 2778 169.68 21927 40264 14143 3404.7 7623.2 1863 684.71 32014 14314 4710.1 1089 0.95425 249.22 137.98 51.046 12.703 9.5678 796.06 438.94 162.02 40.259 3.021
485.8 68525 18125 2365.5 144.11 19328 34534 12110 2912 6504.7 1587.6 582.27 27678 12347 4057.6 937.34 0.80881 212.93 117.45 43.362 10.777 8.1149 680.34 373.77 137.68 34.167 2.5614
541.32 59259 15679 2042.5 124.18 17075 29885 10479 2519.3 5622.9 1371.5 502.29 23940 10674 3507.5 810.24 0.69556 184.13 101.39 37.372 9.277 6.9835 588.37 322.71 118.69 29.421 2.2035
